Category,Avg_Review_Score,review_count
fashion_childrens_clothes ,5,7
auto ,4,4117
baby ,4,2967
fashion_shoes ,4,256
fashion_sport ,4,30
fashion_underwear_beach ,4,126
cool_stuff ,4,3698
costruction_tools_garden ,4,234
costruction_tools_tools ,4,99
drinks ,4,365
dvds_blu_ray ,4,61
electronics ,4,2711
books_general_interest ,4,533
books_imported ,4,57
books_technical ,4,264
cds_dvds_musicals ,4,14
christmas_supplies ,4,143
cine_photo ,4,71
computers ,4,196
agro_industry_and_commerce ,4,206
air_conditioning ,4,284
art ,4,195
arts_and_craftmanship ,4,24
consoles_games ,4,1080
construction_tools_construction ,4,913
construction_tools_lights ,4,293
flowers ,4,31
food ,4,487
food_drink ,4,271
furniture_bedroom ,4,103
garden_tools ,4,4254
health_beauty ,4,9456
home_appliances ,4,789
home_appliances_2 ,4,232
housewares ,4,6780
industry_commerce_and_business ,4,263
kitchen_dining_laundry_garden_furniture ,4,272
la_cuisine ,4,13
luggage_accessories ,4,1073
market_place ,4,303
music ,4,38
musical_instruments ,4,646
signaling_and_security ,4,196
small_appliances ,4,657
small_appliances_home_oven_and_coffee ,4,73
sports_leisure ,4,8436
stationery ,4,2459
tablets_printing_image ,4,81
perfumery ,4,3344
pet_shop ,4,1917
toys ,4,4007
watches_gifts ,4,5825
fashion_bags_accessories ,4,1994
telephony ,3,4408
office_furniture ,3,1664
party_supplies ,3,42
home_comfort_2 ,3,27
home_confort ,3,430
home_construction ,3,593
furniture_decor ,3,8159
furniture_living_room ,3,494
furniture_mattress_and_upholstery ,3,37
construction_tools_safety ,3,182
audio ,3,359
computers_accessories ,3,7672
fashio_female_clothing ,3,46
diapers_and_hygiene ,3,37
fixed_telephony ,3,253
bed_bath_table ,3,10985
fashion_male_clothing ,3,124
security_and_services,2,2
